Feature,main_status,release_jh_gomes_outreach_supabase_0fa25ae,pr3_integration_jh_gomes_release_candidate,release_forgeos_0_2_0_local_demo,other_sources,most_complete_implementation,validation_evidence,missing_work,merge_risk,recommended_source_of_truth
Dashboard and home panel,Absent (foundation only),Present — compact one-screen layout (0d04fa3+),Present — cursor convergence layout,Present — demo layout,integration/jh-gomes-cursor-convergence,release/jh-gomes-outreach-supabase @ 0fa25ae,Manual QA + validate pass on 0fa25ae,Auth-gated dashboard polish from PR #3 RC,Low if cherry-picked not wholesale merge,release/jh-gomes-outreach-supabase @ 0fa25ae
CRM and lead database,Absent,Present — LeadOps CRM + import,Present — LeadOps CRM + import,Present — LeadOps CRM + import,feat/outreach-import-ops-hardening (ancestry),release/jh-gomes-outreach-supabase @ 0fa25ae,Import wizard e2e + acceptance ancestry,Table density overlay fix in fix/table-density-and-action-overlays,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Email outreach workflow,Absent,Present — full campaign workflow restored (7cb4028),Present — older workflow (pre-restore),Present — original workflow (002c69c),release/forgeos-0.2.0-local-demo @ 002c69c (superseded),release/jh-gomes-outreach-supabase @ 0fa25ae,Campaign Playwright 11/11 on 0fa25ae; validate pass,None for workflow UI — reconciled from 0.2.0,Medium if merging 0.2.0 demo wholesale (regression),release/jh-gomes-outreach-supabase @ 0fa25ae
Email template design,Absent,Present — derived content + template parity (ba95884+),Present — template system,Present — template system,feat/email-outreach-mvp-integration,release/jh-gomes-outreach-supabase @ 0fa25ae,Unit tests + template rendering tests,Marketing studio templates not merged,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Portfolio/sample image in email,Absent,Present — custom cups banner (1369f38) + outreach-template-derived-content,Absent,Partial — branded showcase in e7be75d (older),release/jh-gomes-outreach-supabase,release/jh-gomes-outreach-supabase @ 0fa25ae,Template rendering tests; asset at public/assets/email-outreach/jh-gomes/custom-cups-banner.png,None,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Protected Brevo test-send,Absent,Present — 0aa91ed + runbook e98ef8f,Absent on RC head,Absent,None on 0.2.0 demo,release/jh-gomes-outreach-supabase @ 0fa25ae,Brevo protected test readiness doc; validate pass; no email sent,Real Brevo production send still gated,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Microsoft/Outlook email sending,Absent,Partial — Brevo provider; Outlook not merged,Absent,Partial — local email test profile (782f075 on demo branch),feat/outlook-local-send-mvp; feat/jh-gomes-mail-connector,feat/outlook-local-send-mvp (separate track),Outlook MVP docs on 8d146ff,Not in validated release branch,Medium — parallel provider implementations,Defer — merge after release stabilization; source feat/outlook-local-send-mvp
Cup customizer,Absent,Present — packages/cup-customizer + PP scene previews (efebdaf),Present — packages/cup-customizer (older),Present — stabilized preview (4a455fa),feat/cup-customizer-integration-ui; fix/cup-customizer-preview-layout,release/jh-gomes-outreach-supabase @ 0fa25ae + uncommitted PNG deltas,e2e/cup-customizer.spec.ts; efebdaf commit,Uncommitted 250ml/330ml PNG differ from efebdaf — verify visually,Low for code; Medium for asset PNGs,release/jh-gomes-outreach-supabase @ 0fa25ae (code); DO NOT DELETE local PNGs until verified
Cup preview and mockup,Absent,Present — reusable PP backgrounds + preview export,Present — preview package,Present — mockup flow (4a455fa),packages/cup-customizer on release branch,release/jh-gomes-outreach-supabase @ 0fa25ae,Cup customizer e2e; visual-assets tests,Uncommitted PNG asset variants,Low,release/jh-gomes-outreach-supabase @ 0fa25ae
Local cup background images,Absent,Present — public/assets/cup-customizer/backgrounds + cups/reusable-pp,Partial — no PP scene PNGs,Partial — older assets,efebdaf committed assets,release/jh-gomes-outreach-supabase @ 0fa25ae (efebdaf base),Asset presence in 0fa25ae tree,Working-tree 250ml.png (-78KB) and 330ml.png (+66KB) differ from efebdaf,Medium — binary conflict if blind overwrite,efebdaf committed + local PNG deltas (DO NOT DELETE)
