path,classification,rationale,preconditions
C:\Users\J35U5\Desktop\VS Code\Forge-OS,KEEP,Canonical main worktree on validated release/jh-gomes-outreach-supabase @ 0fa25ae,None
C:\Users\J35U5\Desktop\VS Code\Forge-OS\public\assets\cup-customizer\cups\reusable-pp\250ml.png,DO NOT DELETE,Uncommitted; SHA256 differs from efebdaf (982869 vs 1063528 bytes); visual correctness unverified,Verify against .qa/cup-asset-check screenshots then commit or revert
C:\Users\J35U5\Desktop\VS Code\Forge-OS\public\assets\cup-customizer\cups\reusable-pp\330ml.png,DO NOT DELETE,Uncommitted; SHA256 differs from efebdaf (1033202 vs 966876 bytes); visual correctness unverified,Verify against .qa/cup-asset-check screenshots then commit or revert
C:\Users\J35U5\Desktop\VS Code\Forge-OS\.env.local,DO NOT DELETE,Local secrets and runtime config — names only in audit,Never delete; backup before merge operations
C:\Users\J35U5\Desktop\VS Code\Forge-OS\.env.local.backup.*,DO NOT DELETE,Timestamped env backups — may contain credentials,Archive offline after verifying .env.local is current
C:\Users\J35U5\Desktop\VS Code\Forge-OS-inventory,MERGE,Dirty WIP: 7 modified + 2 untracked inventory persistence files,Create backup branch/patch before integrating
C:\Users\J35U5\Desktop\VS Code\Forge-OS-send-jobs-7d2,MERGE,ab5deaa has hosted campaign prep (prepare-campaign routes) not in 0fa25ae,Cherry-pick ab5deaa after release branch checkpoint
C:\Users\J35U5\Desktop\VS Code\Forge-OS-release-candidate,REVIEW MANUALLY,PR #3 head (integration/jh-gomes-release-candidate); dirty CI/README changes; 66 commits not in release,Use as cherry-pick source for auth/CI — not wholesale replacement of release
C:\Users\J35U5\Desktop\VS Code\Forge-OS-supabase-7d2-integration,REVIEW MANUALLY,PR #3 base branch; dirty next-env.d.ts; integration attempt,Compare migrations vs release before merge
C:\Users\J35U5\Desktop\VS Code\Forge-OS-auth-activation,MERGE,integration/jh-gomes-auth-activation — auth activation validated in PR #3,Cherry-pick into release after outreach validation holds
C:\Users\J35U5\Desktop\VS Code\Forge-OS-cursor-final-convergence,MERGE,integration/jh-gomes-cursor-convergence — feature convergence docs,Cherry-pick remaining unique commits not in release
C:\Users\J35U5\Desktop\VS Code\Forge-OS-0.2.0-local-demo,ARCHIVE TEMPORARILY,release/forgeos-0.2.0-local-demo — workflow source (002c69c) now reconciled into release; dirty showcase.svg,Verify no unique commits needed then archive worktree
C:\Users\J35U5\Desktop\VS Code\Forge-OS-codex,SAFE TO DELETE AFTER MERGE,Stale agent sandbox @ bd33f90 — superseded,Confirm no uncommitted work
C:\Users\J35U5\Desktop\VS Code\Forge-OS-cursor,SAFE TO DELETE AFTER MERGE,Stale agent sandbox @ bd33f90 — superseded,Confirm no uncommitted work
C:\Users\J35U5\Desktop\VS Code\Forge-OS-outreach,SAFE TO DELETE AFTER MERGE,Superseded feat/email-outreach-live-mvp; only dirty next-env.d.ts,After release merge verified
C:\Users\J35U5\Desktop\VS Code\Forge-OS-cup-customizer-integration,SAFE TO DELETE AFTER MERGE,Overlaps cup work now on release; dirty next-env.d.ts only,After cup PNG verification committed
C:\Users\J35U5\Desktop\VS Code\Forge-OS-cup-customizer-preview-ux,SAFE TO DELETE AFTER MERGE,Preview UX merged into release ancestry; dirty next-env.d.ts only,After cup asset verification
C:\Users\J35U5\Desktop\VS Code\Forge-OS-maintenance,ARCHIVE TEMPORARILY,Dirty maintenance scan WIP on leadops files,Export patch before removal
C:\Users\J35U5\Desktop\VS Code\ForgeOS-7D2-Recovery-Backup,ARCHIVE TEMPORARILY,Recovery snapshot (no .git); verify against ab5deaa,After 7d2 merge confirmed
C:\Users\J35U5\Desktop\VS Code\.forgeos-agent-locks,KEEP,Agent coordination locks,None
C:\Users\J35U5\Desktop\VS Code\Forge-OS\node_modules,SAFE TO DELETE AFTER MERGE,Generated dependency install (~GB per worktree),After final canonical worktree chosen
C:\Users\J35U5\Desktop\VS Code\Forge-OS\.next,SAFE TO DELETE AFTER MERGE,Next.js build cache,Regenerated by npm run build
C:\Users\J35U5\Desktop\VS Code\Forge-OS-*\node_modules,SAFE TO DELETE AFTER MERGE,Duplicate node_modules across 35 worktrees,After worktree pruning
C:\Users\J35U5\Desktop\VS Code\Forge-OS-*\.next,SAFE TO DELETE AFTER MERGE,Duplicate build caches across worktrees,After worktree pruning
C:\Users\J35U5\Desktop\VS Code\Forge-OS-*\playwright-report,SAFE TO DELETE AFTER MERGE,Generated Playwright HTML reports,After test validation archived
C:\Users\J35U5\Desktop\VS Code\Forge-OS-*\test-results,SAFE TO DELETE AFTER MERGE,Generated Playwright artifacts,After test validation archived
C:\Users\J35U5\Desktop\VS Code\Forge-OS\*\next-env.d.ts (dirty in 6 worktrees),SAFE TO DELETE AFTER MERGE,Auto-generated Next.js type stub — not source,Revert or regenerate; not unique implementation
